Time,On,Temperature,Setpoint
1060,68,63.778542098557985,70
1070,68,63.80971281495088,70
1080,68,63.84079694602046,70
1090,68,63.871794732281515,70
1100,68,63.90270641358073,70
1110,68,63.93353222909856,70
1120,68,63.96427241735107,70
1130,68,63.99492721619176,70
1140,68,64.02549686281345,70
1150,68,64.05598159375008,70
1160,68,64.08638164487856,70
1170,68,64.11669725142056,70
1180,68,64.14692864794439,70
1190,68,64.17707606836677,70
1200,68,64.20713974595463,70
1210,68,64.23711991332698,70
1220,68,64.26701680245664,70
1230,68,64.29683064467203,70
1240,68,64.32656167065906,70
1250,68,64.35621011046278,70
1260,68,64.38577619348928,70
1270,68,64.41526014850736,70
1280,68,64.4446622036504,70
1290,68,64.47398258641803,70
1300,68,64.50322152367798,70
1310,68,64.53237924166777,70
1320,68,64.56145596599647,70
1330,68,64.59045192164648,70
1340,68,64.61936733297524,70
1350,68,64.64820242371698,70
1360,68,64.67695741698442,70
1370,68,64.70563253527058,70
1380,68,64.73422800045039,70
1390,68,64.76274403378247,70
1400,68,64.79118085591085,70
1410,68,64.81953868686665,70
1420,68,64.84781774606981,70
1430,68,64.87601825233072,70
1440,68,64.90414042385203,70
1450,68,64.93218447823021,70
1460,68,64.96015063245736,70
1470,68,64.98803910292276,70
1480,68,65.01585010541463,70
1490,68,65.04358385512181,70
1500,68,65.07124056663537,70
1510,68,65.09882045395027,70
1520,68,65.12632373046706,70
1530,68,65.15375060899355,70
1540,68,65.18110130174634,70
1550,68,65.2083760203526,70
1560,68,65.23557497585162,70
1570,68,65.26269837869648,70
1580,68,65.28974643875566,70
1590,68,65.31671936531467,70
1600,68,65.34361736707768,70
1610,68,65.37044065216914,70
1620,68,65.39718942813533,70
1630,68,65.42386390194608,70
1640,68,65.45046427999623,70
1650,68,65.47699076810734,70
1660,68,65.50344357152927,70
1670,68,65.52982289494169,70
1680,68,65.55612894245574,70
1690,68,65.58236191761559,70
1700,68,65.60852202339998,70
1710,68,65.63460946222388,70
1720,68,65.66062443593992,70
1730,68,65.68656714584009,70
1740,68,65.7124377926572,70
1750,68,65.73823657656648,70
1760,68,65.76396369718714,70
1770,68,65.78961935358383,70
1780,68,65.81520374426833,70
1790,68,65.84071706720091,70
1800,68,65.86615951979202,70
1810,68,65.89153129890371,70
1820,68,65.9168326008512,70
1830,68,65.94206362140439,70
1840,68,65.96722455578939,70
